Name,Link
Bitcoin,https://coinmarketcap.com/currencies/bitcoin/
Ethereum,https://coinmarketcap.com/currencies/ethereum/
Tether,https://coinmarketcap.com/currencies/tether/
BNB,https://coinmarketcap.com/currencies/bnb/
Solana,https://coinmarketcap.com/currencies/solana/
USDC,https://coinmarketcap.com/currencies/usd-coin/
XRP,https://coinmarketcap.com/currencies/xrp/
Toncoin,https://coinmarketcap.com/currencies/toncoin/
Dogecoin,https://coinmarketcap.com/currencies/dogecoin/
Cardano,https://coinmarketcap.com/currencies/cardano/
TRON,https://coinmarketcap.com/currencies/tron/
Avalanche,https://coinmarketcap.com/currencies/avalanche/
Shiba,https://coinmarketcap.com/currencies/shiba-inu/
Polkadot,https://coinmarketcap.com/currencies/polkadot-new/
Chainlink,https://coinmarketcap.com/currencies/chainlink/
Bitcoin,https://coinmarketcap.com/currencies/bitcoin-cash/
NEAR,https://coinmarketcap.com/currencies/near-protocol/
Litecoin,https://coinmarketcap.com/currencies/litecoin/
Dai,https://coinmarketcap.com/currencies/multi-collateral-dai/
UNUS,https://coinmarketcap.com/currencies/unus-sed-leo/
Polygon,https://coinmarketcap.com/currencies/polygon/
Pepe,https://coinmarketcap.com/currencies/pepe/
Pepe,https://coinmarketcap.com/currencies/internet-computer/
Uniswap,https://coinmarketcap.com/currencies/uniswap/
Kaspa,https://coinmarketcap.com/currencies/kaspa/
Kaspa,https://coinmarketcap.com/currencies/fetch/
Kaspa,https://coinmarketcap.com/currencies/ethereum-classic/
Aptos,https://coinmarketcap.com/currencies/aptos/
Stellar,https://coinmarketcap.com/currencies/stellar/
Monero,https://coinmarketcap.com/currencies/monero/
Mantle,https://coinmarketcap.com/currencies/mantle/
Stacks,https://coinmarketcap.com/currencies/stacks/
Render,https://coinmarketcap.com/currencies/render/
Hedera,https://coinmarketcap.com/currencies/hedera/
Filecoin,https://coinmarketcap.com/currencies/filecoin/
